kmeans_cluster,etfruit,eatveg,dosprt,cgtsmok,slprl,agea,mainact,alcwkdy,alcwknd,edulvlb,hinctnta
0,3.255350249700785,3.080002895131232,3.9333031155213893,4.654868092169336,1.8175914808810245,53.706649646250476,55.10848097172414,1550.4825307468664,1525.3132955852388,465.07942007715457,15.208169210713306
1,3.592080765039641,3.4562859156418093,3.7865210231559203,4.557359634444035,1.8914410168147626,77.33333367421739,60.499994846374754,2938.8626607187553,2995.879535799071,634.5331408593987,27.334588867604506
2,6.266625233064015,5.303915475450591,5.902423865755128,3.1740211311373523,2.0161591050341827,63.0391547545059,3.4555624611559974,5162.5356432566805,5200.332753262896,447.597265382225,14.621504039776259
3,3.524754489903068,3.594912199625019,4.530894027651158,4.200665008715262,1.7539046548322332,60.29258481750437,63.09946932907572,2634.8015302262343,2642.861034478511,410.17646469513045,26.255240854201265
