,etfruit,eatveg,dosprt,cgtsmok,slprl,agea,mainact,alcwkdy,alcwknd,edulvlb,hinctnta
PC1,0.04325520264506121,0.06379829218899644,0.06114466633210386,0.17473713950734646,0.07314635091170098,0.07410460317297689,-0.013799610565440771,0.6809351843510114,0.6819020085236397,0.0110541454779877,0.14131329891761454
PC2,0.6756064509977205,0.6663229815694706,0.14808690004302233,-0.1331942153659491,0.13571857002725568,0.12428760574958586,-0.08793106350969405,-0.06456600833430047,-0.061843071859049165,0.0873783325605626,0.05169196782795249
PC3,-0.04977958614303315,0.0031842609977144054,0.27246048640090176,0.2873106683441402,-0.226799261041735,0.2736043749329545,0.5257818748953568,-0.10613788122513701,-0.10029236811557303,0.3644071925872617,0.5327940190999032
PC4,-0.15167721062284917,-0.1944545007418111,0.2686064135817233,-0.006519507609244848,0.5202893224814268,0.4734348279001383,-0.3006230208432928,-0.03609591957886439,-0.035041607646027775,0.4824534801724452,-0.21559604657111237
