Model,Predictor,SampleSize,OR,SE,Lower90CI,Upper90CI,Lower95CI,Upper95CI,PValue,AUC,BrierScore
Model 3: + Lifestyle,dosprt,46162,0.9734359701558618,0.003423768550131518,0.9679693772536435,0.9789334355615504,0.9669256321683706,0.9799901424355687,3.731760431734124e-15,0.6446495928084783,0.09837893234282462
Model 4: + Region Fixed Effects,Intercept,46162,0.1412557828431753,0.07798698436052987,0.12424993422380756,0.16058918913145842,0.12123376562026307,0.16458447928720704,5.461227352693445e-139,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,C(region)[T.North],46162,0.9710336191361468,0.06783361962554225,0.8685148774887308,1.0856535839881198,0.8501473092715358,1.1091093028343404,0.6647766989382443,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,C(region)[T.South],46162,0.8291186669386098,0.06350862563213779,0.7468772863642367,0.9204159457204436,0.7320791749580063,0.9390210613564993,0.0031710177254660092,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,C(region)[T.Unknown],46162,1.159830414617268,0.05198651091649845,1.0647750956873108,1.2633715759504451,1.047474586117832,1.2842379266277866,0.004342336089172912,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,C(region)[T.West],46162,0.9446361396864869,0.053300597930847966,0.8653448812819172,1.0311928292450103,0.8509322929694215,1.0486585639944144,0.28526310830148494,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,agea,46162,1.0015425953251451,0.000128851167811949,1.0013303495673742,1.0017548860713275,1.0012896940398675,1.0017955604871018,5.572603483172683e-33,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,gndr,46162,0.9789012949787997,0.03040757548557349,0.9311448069504871,1.0291071143375075,0.92226542556504,1.0390151454762453,0.48312338256533327,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,edulvlb,46162,0.9996428984167285,5.514053851967367e-05,0.9995522368018737,0.9997335682547938,0.9995348693779905,0.9997509391311703,9.333861100293173e-11,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,hinctnta,46162,0.9907771591132677,0.0005785911280739117,0.9898346872996073,0.9917205283021473,0.9896542370330873,0.9919013553293543,1.0181792817733629e-57,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,cgtsmok,46162,1.0396936473603235,0.008461398166964996,1.0253236700981272,1.054265020779205,1.0225935173330851,1.057079731133593,4.216125259686584e-06,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,BMI,46162,1.000850180947487,0.0002932406441851716,1.000367549340929,1.00133304540173,1.000275116484568,1.0014255760185868,0.0037551644742322763,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,alcfreq,46162,1.0030609998356974,0.002384410163909408,0.9991346934016594,1.0070027355029667,0.9983842731627129,1.0077596336770556,0.1999146439921078,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,etfruit,46162,0.9959539935441478,0.003562864250860497,0.9901343837830688,1.0018078086195012,0.9890233882086847,1.0029331652642774,0.2551586716938097,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,eatveg,46162,1.007877775781957,0.0031729185069166487,1.002631377611282,1.0131516264086193,1.0016294281911018,1.0141651017080304,0.013395098581397672,0.6359022580322301,0.09820655658634052
Model 4: + Region Fixed Effects,dosprt,46162,0.9738871355282392,0.0033734657054553265,0.9684981399966747,0.9793061169437616,0.9674691599366377,0.9803476865448777,4.38075235969956e-15,0.6359022580322301,0.09820655658634052
